2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
5 r 2.6097; phi -1.6840; x -0.0147; y -0.1296; t_rel 0.4369;
5 r 2.6089; phi -1.6846; x -0.0148; y -0.1296; t_rel 0.4368;
5 r 2.6082; phi -1.6853; x -0.0149; y -0.1296; t_rel 0.4367;
5 r 2.6075; phi -1.6859; x -0.0150; y -0.1295; t_rel 0.4366;
5 r 2.6068; phi -1.6865; x -0.0151; y -0.1295; t_rel 0.4365;
5 r 2.6061; phi -1.6872; x -0.0151; y -0.1294; t_rel 0.4364;
5 r 2.6053; phi -1.6878; x -0.0152; y -0.1294; t_rel 0.4364;
5 r 2.6046; phi -1.6884; x -0.0153; y -0.1293; t_rel 0.4363;
5 r 2.6039; phi -1.6890; x -0.0154; y -0.1293; t_rel 0.4362;
5 r 2.6032; phi -1.6897; x -0.0154; y -0.1292; t_rel 0.4361;
5 r 2.6025; phi -1.6903; x -0.0155; y -0.1292; t_rel 0.4360;
5 r 2.6018; phi -1.6909; x -0.0156; y -0.1292; t_rel 0.4359;
5 r 2.6010; phi -1.6916; x -0.0157; y -0.1291; t_rel 0.4358;
5 r 2.6003; phi -1.6922; x -0.0157; y -0.1291; t_rel 0.4357;
5 r 2.5996; phi -1.6928; x -0.0158; y -0.1290; t_rel 0.4356;
5 r 2.5989; phi -1.6934; x -0.0159; y -0.1290; t_rel 0.4355;
5 r 2.5982; phi -1.6941; x -0.0160; y -0.1289; t_rel 0.4354;
5 r 2.5975; phi -1.6947; x -0.0161; y -0.1289; t_rel 0.4353;
5 r 2.5967; phi -1.6953; x -0.0161; y -0.1288; t_rel 0.4352;
5 r 2.5960; phi -1.6960; x -0.0162; y -0.1288; t_rel 0.4351;
5 r 2.5953; phi -1.6966; x -0.0163; y -0.1287; t_rel 0.4350;
5 r 2.5946; phi -1.6972; x -0.0164; y -0.1287; t_rel 0.4349;
5 r 2.5939; phi -1.6978; x -0.0164; y -0.1286; t_rel 0.4348;
5 r 2.5932; phi -1.6985; x -0.0165; y -0.1286; t_rel 0.4347;
5 r 2.5925; phi -1.6991; x -0.0166; y -0.1286; t_rel 0.4347;
5 r 2.5917; phi -1.6997; x -0.0167; y -0.1285; t_rel 0.4346;
5 r 2.5910; phi -1.7004; x -0.0167; y -0.1285; t_rel 0.4345;
5 r 2.5903; phi -1.7010; x -0.0168; y -0.1284; t_rel 0.4344;
5 r 2.5896; phi -1.7016; x -0.0169; y -0.1284; t_rel 0.4343;
5 r 2.5889; phi -1.7023; x -0.0170; y -0.1283; t_rel 0.4342;
5 r 2.5882; phi -1.7029; x -0.0170; y -0.1283; t_rel 0.4341;
5 r 2.5875; phi -1.7035; x -0.0171; y -0.1282; t_rel 0.4340;
5 r 2.5868; phi -1.7041; x -0.0172; y -0.1282; t_rel 0.4339;
5 r 2.5860; phi -1.7048; x -0.0173; y -0.1281; t_rel 0.4338;
5 r 2.5853; phi -1.7054; x -0.0173; y -0.1281; t_rel 0.4337;
5 r 2.5846; phi -1.7060; x -0.0174; y -0.1281; t_rel 0.4336;
5 r 2.5839; phi -1.7067; x -0.0175; y -0.1280; t_rel 0.4335;
5 r 2.5832; phi -1.7073; x -0.0176; y -0.1280; t_rel 0.4334;
5 r 2.5825; phi -1.7079; x -0.0176; y -0.1279; t_rel 0.4333;
5 r 2.5818; phi -1.7085; x -0.0177; y -0.1279; t_rel 0.4332;
5 r 2.5811; phi -1.7092; x -0.0178; y -0.1278; t_rel 0.4331;
5 r 2.5804; phi -1.7098; x -0.0179; y -0.1278; t_rel 0.4330;
5 r 2.5797; phi -1.7104; x -0.0180; y -0.1277; t_rel 0.4329;
5 r 2.5789; phi -1.7111; x -0.0180; y -0.1277; t_rel 0.4328;
5 r 2.5782; phi -1.7117; x -0.0181; y -0.1276; t_rel 0.4327;
5 r 2.5775; phi -1.7123; x -0.0182; y -0.1276; t_rel 0.4326;
5 r 2.5768; phi -1.7129; x -0.0183; y -0.1275; t_rel 0.4326;
5 r 2.5761; phi -1.7136; x -0.0183; y -0.1275; t_rel 0.4325;
5 r 2.5754; phi -1.7142; x -0.0184; y -0.1274; t_rel 0.4324;
5 r 2.5747; phi -1.7148; x -0.0185; y -0.1274; t_rel 0.4323;
5 r 2.5740; phi -1.7155; x -0.0186; y -0.1274; t_rel 0.4322;
5 r 2.5733; phi -1.7161; x -0.0186; y -0.1273; t_rel 0.4321;
5 r 2.5726; phi -1.7167; x -0.0187; y -0.1273; t_rel 0.4320;
5 r 2.5719; phi -1.7173; x -0.0188; y -0.1272; t_rel 0.4319;
5 r 2.5712; phi -1.7180; x -0.0189; y -0.1272; t_rel 0.4318;
5 r 2.5705; phi -1.7186; x -0.0189; y -0.1271; t_rel 0.4317;
5 r 2.5697; phi -1.7192; x -0.0190; y -0.1271; t_rel 0.4316;
5 r 2.5690; phi -1.7199; x -0.0191; y -0.1270; t_rel 0.4315;
5 r 2.5683; phi -1.7205; x -0.0192; y -0.1270; t_rel 0.4314;
5 r 2.5676; phi -1.7211; x -0.0192; y -0.1269; t_rel 0.4313;
5 r 2.5669; phi -1.7217; x -0.0193; y -0.1269; t_rel 0.4312;
5 r 2.5662; phi -1.7224; x -0.0194; y -0.1268; t_rel 0.4311;
5 r 2.5655; phi -1.7230; x -0.0194; y -0.1268; t_rel 0.4310;
5 r 2.5648; phi -1.7236; x -0.0195; y -0.1267; t_rel 0.4309;
5 r 2.5641; phi -1.7243; x -0.0196; y -0.1267; t_rel 0.4308;
5 r 2.5634; phi -1.7249; x -0.0197; y -0.1267; t_rel 0.4307;
5 r 2.5627; phi -1.7255; x -0.0197; y -0.1266; t_rel 0.4306;
5 r 2.5620; phi -1.7261; x -0.0198; y -0.1266; t_rel 0.4305;
5 r 2.5613; phi -1.7268; x -0.0199; y -0.1265; t_rel 0.4304;
5 r 2.5606; phi -1.7274; x -0.0200; y -0.1265; t_rel 0.4303;
5 r 2.5599; phi -1.7280; x -0.0200; y -0.1264; t_rel 0.4302;
5 r 2.5592; phi -1.7287; x -0.0201; y -0.1264; t_rel 0.4301;
5 r 2.5585; phi -1.7293; x -0.0202; y -0.1263; t_rel 0.4300;
5 r 2.5578; phi -1.7299; x -0.0203; y -0.1263; t_rel 0.4299;
5 r 2.5571; phi -1.7305; x -0.0203; y -0.1262; t_rel 0.4298;
5 r 2.5564; phi -1.7312; x -0.0204; y -0.1262; t_rel 0.4297;
5 r 2.5557; phi -1.7318; x -0.0205; y -0.1261; t_rel 0.4296;
5 r 2.5550; phi -1.7324; x -0.0206; y -0.1261; t_rel 0.4295;
5 r 2.5543; phi -1.7331; x -0.0206; y -0.1260; t_rel 0.4294;
5 r 2.5536; phi -1.7337; x -0.0207; y -0.1260; t_rel 0.4293;
5 r 2.5529; phi -1.7343; x -0.0208; y -0.1259; t_rel 0.4292;
5 r 2.5522; phi -1.7350; x -0.0209; y -0.1259; t_rel 0.4291;
5 r 2.5515; phi -1.7356; x -0.0209; y -0.1258; t_rel 0.4290;
5 r 2.5508; phi -1.7362; x -0.0210; y -0.1258; t_rel 0.4289;
5 r 2.5501; phi -1.7368; x -0.0211; y -0.1257; t_rel 0.4288;
5 r 2.5494; phi -1.7375; x -0.0211; y -0.1257; t_rel 0.4287;
5 r 2.5487; phi -1.7381; x -0.0212; y -0.1257; t_rel 0.4286;
5 r 2.5480; phi -1.7387; x -0.0213; y -0.1256; t_rel 0.4285;
5 r 2.5473; phi -1.7394; x -0.0214; y -0.1256; t_rel 0.4285;
5 r 2.5466; phi -1.7400; x -0.0214; y -0.1255; t_rel 0.4284;
5 r 2.5459; phi -1.7406; x -0.0215; y -0.1255; t_rel 0.4283;
5 r 2.5452; phi -1.7412; x -0.0216; y -0.1254; t_rel 0.4282;
5 r 2.5445; phi -1.7419; x -0.0217; y -0.1254; t_rel 0.4281;
5 r 2.5438; phi -1.7425; x -0.0217; y -0.1253; t_rel 0.4280;
5 r 2.5431; phi -1.7431; x -0.0218; y -0.1253; t_rel 0.4279;
5 r 2.5424; phi -1.7438; x -0.0219; y -0.1252; t_rel 0.4278;
5 r 2.5417; phi -1.7444; x -0.0219; y -0.1252; t_rel 0.4277;
5 r 2.5410; phi -1.7450; x -0.0220; y -0.1251; t_rel 0.4276;
5 r 2.5403; phi -1.7456; x -0.0221; y -0.1251; t_rel 0.4275;
5 r 2.5396; phi -1.7463; x -0.0222; y -0.1250; t_rel 0.4274;
5 r 2.5389; phi -1.7469; x -0.0222; y -0.1250; t_rel 0.4273;
5 r 2.5382; phi -1.7475; x -0.0223; y -0.1249; t_rel 0.4272;
5 r 2.5375; phi -1.7482; x -0.0224; y -0.1249; t_rel 0.4271;
5 r 2.5368; phi -1.7488; x -0.0225; y -0.1248; t_rel 0.4270;
5 r 2.5361; phi -1.7494; x -0.0225; y -0.1248; t_rel 0.4269;
5 r 2.5354; phi -1.7500; x -0.0226; y -0.1247; t_rel 0.4268;
5 r 2.5347; phi -1.7507; x -0.0227; y -0.1247; t_rel 0.4267;
5 r 2.5340; phi -1.7513; x -0.0227; y -0.1246; t_rel 0.4266;
5 r 2.5333; phi -1.7519; x -0.0228; y -0.1246; t_rel 0.4265;
5 r 2.5326; phi -1.7526; x -0.0229; y -0.1245; t_rel 0.4264;
5 r 2.5319; phi -1.7532; x -0.0230; y -0.1245; t_rel 0.4263;
5 r 2.5312; phi -1.7538; x -0.0230; y -0.1244; t_rel 0.4262;
5 r 2.5305; phi -1.7544; x -0.0231; y -0.1244; t_rel 0.4261;
5 r 2.5298; phi -1.7551; x -0.0232; y -0.1244; t_rel 0.4260;
5 r 2.5291; phi -1.7557; x -0.0232; y -0.1243; t_rel 0.4259;
5 r 2.5284; phi -1.7563; x -0.0233; y -0.1243; t_rel 0.4257;
5 r 2.5278; phi -1.7570; x -0.0234; y -0.1242; t_rel 0.4256;
5 r 2.5271; phi -1.7576; x -0.0235; y -0.1242; t_rel 0.4255;
5 r 2.5264; phi -1.7582; x -0.0235; y -0.1241; t_rel 0.4254;
5 r 2.5257; phi -1.7588; x -0.0236; y -0.1241; t_rel 0.4253;
5 r 2.5250; phi -1.7595; x -0.0237; y -0.1240; t_rel 0.4252;
5 r 2.5243; phi -1.7601; x -0.0238; y -0.1240; t_rel 0.4251;
5 r 2.5236; phi -1.7607; x -0.0238; y -0.1239; t_rel 0.4250;
5 r 2.5229; phi -1.7614; x -0.0239; y -0.1239; t_rel 0.4249;
5 r 2.5222; phi -1.7620; x -0.0240; y -0.1238; t_rel 0.4248;
5 r 2.5215; phi -1.7626; x -0.0240; y -0.1238; t_rel 0.4247;
5 r 2.5208; phi -1.7632; x -0.0241; y -0.1237; t_rel 0.4246;
5 r 2.5201; phi -1.7639; x -0.0242; y -0.1237; t_rel 0.4245;
5 r 2.5194; phi -1.7645; x -0.0242; y -0.1236; t_rel 0.4244;
5 r 2.5187; phi -1.7651; x -0.0243; y -0.1236; t_rel 0.4243;
5 r 2.5181; phi -1.7658; x -0.0244; y -0.1235; t_rel 0.4242;
5 r 2.5174; phi -1.7664; x -0.0245; y -0.1235; t_rel 0.4241;
5 r 2.5167; phi -1.7670; x -0.0245; y -0.1234; t_rel 0.4240;
5 r 2.5160; phi -1.7676; x -0.0246; y -0.1234; t_rel 0.4239;
5 r 2.5153; phi -1.7683; x -0.0247; y -0.1233; t_rel 0.4238;
5 r 2.5146; phi -1.7689; x -0.0247; y -0.1233; t_rel 0.4237;
5 r 2.5139; phi -1.7695; x -0.0248; y -0.1232; t_rel 0.4236;
5 r 2.5132; phi -1.7702; x -0.0249; y -0.1232; t_rel 0.4235;
5 r 2.5125; phi -1.7708; x -0.0250; y -0.1231; t_rel 0.4234;
5 r 2.5118; phi -1.7714; x -0.0250; y -0.1231; t_rel 0.4233;
5 r 2.5112; phi -1.7721; x -0.0251; y -0.1230; t_rel 0.4232;
5 r 2.5105; phi -1.7727; x -0.0252; y -0.1230; t_rel 0.4231;
5 r 2.5098; phi -1.7733; x -0.0252; y -0.1229; t_rel 0.4230;
5 r 2.5091; phi -1.7739; x -0.0253; y -0.1229; t_rel 0.4229;
5 r 2.5084; phi -1.7746; x -0.0254; y -0.1228; t_rel 0.4228;
5 r 2.5077; phi -1.7752; x -0.0255; y -0.1228; t_rel 0.4227;
5 r 2.5070; phi -1.7758; x -0.0255; y -0.1227; t_rel 0.4226;
5 r 2.5063; phi -1.7765; x -0.0256; y -0.1227; t_rel 0.4225;
5 r 2.5056; phi -1.7771; x -0.0257; y -0.1226; t_rel 0.4224;
5 r 2.5050; phi -1.7777; x -0.0257; y -0.1226; t_rel 0.4223;
5 r 2.5043; phi -1.7783; x -0.0258; y -0.1225; t_rel 0.4222;
5 r 2.5036; phi -1.7790; x -0.0259; y -0.1225; t_rel 0.4221;
5 r 2.5029; phi -1.7796; x -0.0259; y -0.1224; t_rel 0.4220;
5 r 2.5022; phi -1.7802; x -0.0260; y -0.1224; t_rel 0.4219;
5 r 2.5015; phi -1.7809; x -0.0261; y -0.1223; t_rel 0.4217;
5 r 2.5008; phi -1.7815; x -0.0262; y -0.1223; t_rel 0.4216;
5 r 2.5001; phi -1.7821; x -0.0262; y -0.1222; t_rel 0.4215;
5 r 2.4995; phi -1.7827; x -0.0263; y -0.1222; t_rel 0.4214;
5 r 2.4988; phi -1.7834; x -0.0264; y -0.1221; t_rel 0.4213;
5 r 2.4981; phi -1.7840; x -0.0264; y -0.1221; t_rel 0.4212;
5 r 2.4974; phi -1.7846; x -0.0265; y -0.1220; t_rel 0.4211;
5 r 2.4967; phi -1.7853; x -0.0266; y -0.1220; t_rel 0.4210;
5 r 2.4960; phi -1.7859; x -0.0266; y -0.1219; t_rel 0.4209;
5 r 2.4953; phi -1.7865; x -0.0267; y -0.1219; t_rel 0.4208;
5 r 2.4947; phi -1.7871; x -0.0268; y -0.1218; t_rel 0.4207;
5 r 2.4940; phi -1.7878; x -0.0268; y -0.1218; t_rel 0.4206;
5 r 2.4933; phi -1.7884; x -0.0269; y -0.1217; t_rel 0.4205;
5 r 2.4926; phi -1.7890; x -0.0270; y -0.1217; t_rel 0.4204;
5 r 2.4919; phi -1.7897; x -0.0271; y -0.1216; t_rel 0.4203;
5 r 2.4912; phi -1.7903; x -0.0271; y -0.1216; t_rel 0.4202;
5 r 2.4906; phi -1.7909; x -0.0272; y -0.1215; t_rel 0.4201;
5 r 2.4899; phi -1.7915; x -0.0273; y -0.1215; t_rel 0.4200;
5 r 2.4892; phi -1.7922; x -0.0273; y -0.1214; t_rel 0.4199;
5 r 2.4885; phi -1.7928; x -0.0274; y -0.1214; t_rel 0.4198;
5 r 2.4878; phi -1.7934; x -0.0275; y -0.1213; t_rel 0.4196;
5 r 2.4871; phi -1.7941; x -0.0275; y -0.1213; t_rel 0.4195;
5 r 2.4865; phi -1.7947; x -0.0276; y -0.1212; t_rel 0.4194;
5 r 2.4858; phi -1.7953; x -0.0277; y -0.1212; t_rel 0.4193;
5 r 2.4851; phi -1.7959; x -0.0277; y -0.1211; t_rel 0.4192;
5 r 2.4844; phi -1.7966; x -0.0278; y -0.1211; t_rel 0.4191;
5 r 2.4837; phi -1.7972; x -0.0279; y -0.1210; t_rel 0.4190;
5 r 2.4830; phi -1.7978; x -0.0279; y -0.1210; t_rel 0.4189;
5 r 2.4824; phi -1.7985; x -0.0280; y -0.1209; t_rel 0.4188;
5 r 2.4817; phi -1.7991; x -0.0281; y -0.1209; t_rel 0.4187;
5 r 2.4810; phi -1.7997; x -0.0282; y -0.1208; t_rel 0.4186;
5 r 2.4803; phi -1.8003; x -0.0282; y -0.1208; t_rel 0.4185;
5 r 2.4796; phi -1.8010; x -0.0283; y -0.1207; t_rel 0.4184;
5 r 2.4790; phi -1.8016; x -0.0284; y -0.1207; t_rel 0.4183;
5 r 2.4783; phi -1.8022; x -0.0284; y -0.1206; t_rel 0.4182;
5 r 2.4776; phi -1.8029; x -0.0285; y -0.1206; t_rel 0.4180;
5 r 2.4769; phi -1.8035; x -0.0286; y -0.1205; t_rel 0.4179;
5 r 2.4762; phi -1.8041; x -0.0286; y -0.1205; t_rel 0.4178;
5 r 2.4755; phi -1.8048; x -0.0287; y -0.1204; t_rel 0.4177;
5 r 2.4749; phi -1.8054; x -0.0288; y -0.1204; t_rel 0.4176;
5 r 2.4742; phi -1.8060; x -0.0288; y -0.1203; t_rel 0.4175;
5 r 2.4735; phi -1.8066; x -0.0289; y -0.1203; t_rel 0.4174;
5 r 2.4728; phi -1.8073; x -0.0290; y -0.1202; t_rel 0.4173;
5 r 2.4722; phi -1.8079; x -0.0290; y -0.1201; t_rel 0.4172;
5 r 2.4715; phi -1.8085; x -0.0291; y -0.1201; t_rel 0.4171;
5 r 2.4708; phi -1.8092; x -0.0292; y -0.1200; t_rel 0.4170;
5 r 2.4701; phi -1.8098; x -0.0292; y -0.1200; t_rel 0.4169;
5 r 2.4694; phi -1.8104; x -0.0293; y -0.1199; t_rel 0.4168;
5 r 2.4688; phi -1.8110; x -0.0294; y -0.1199; t_rel 0.4166;
5 r 2.4681; phi -1.8117; x -0.0294; y -0.1198; t_rel 0.4165;
5 r 2.4674; phi -1.8123; x -0.0295; y -0.1198; t_rel 0.4164;
5 r 2.4667; phi -1.8129; x -0.0296; y -0.1197; t_rel 0.4163;
5 r 2.4660; phi -1.8136; x -0.0296; y -0.1197; t_rel 0.4162;
5 r 2.4654; phi -1.8142; x -0.0297; y -0.1196; t_rel 0.4161;
5 r 2.4647; phi -1.8148; x -0.0298; y -0.1196; t_rel 0.4160;
5 r 2.4640; phi -1.8154; x -0.0298; y -0.1195; t_rel 0.4159;
5 r 2.4633; phi -1.8161; x -0.0299; y -0.1195; t_rel 0.4158;
5 r 2.4627; phi -1.8167; x -0.0300; y -0.1194; t_rel 0.4157;
5 r 2.4620; phi -1.8173; x -0.0300; y -0.1194; t_rel 0.4155;
5 r 2.4613; phi -1.8180; x -0.0301; y -0.1193; t_rel 0.4154;
5 r 2.4606; phi -1.8186; x -0.0302; y -0.1193; t_rel 0.4153;
5 r 2.4599; phi -1.8192; x -0.0302; y -0.1192; t_rel 0.4152;
5 r 2.4593; phi -1.8198; x -0.0303; y -0.1192; t_rel 0.4151;
5 r 2.4586; phi -1.8205; x -0.0304; y -0.1191; t_rel 0.4150;
5 r 2.4579; phi -1.8211; x -0.0304; y -0.1191; t_rel 0.4149;
5 r 2.4572; phi -1.8217; x -0.0305; y -0.1190; t_rel 0.4148;
5 r 2.4566; phi -1.8224; x -0.0306; y -0.1190; t_rel 0.4147;
5 r 2.4559; phi -1.8230; x -0.0306; y -0.1189; t_rel 0.4146;
5 r 2.4552; phi -1.8236; x -0.0307; y -0.1189; t_rel 0.4144;
5 r 2.4545; phi -1.8242; x -0.0308; y -0.1188; t_rel 0.4143;
5 r 2.4539; phi -1.8249; x -0.0308; y -0.1188; t_rel 0.4142;
5 r 2.4532; phi -1.8255; x -0.0309; y -0.1187; t_rel 0.4141;
5 r 2.4525; phi -1.8261; x -0.0310; y -0.1187; t_rel 0.4140;
5 r 2.4518; phi -1.8268; x -0.0310; y -0.1186; t_rel 0.4139;
5 r 2.4512; phi -1.8274; x -0.0311; y -0.1185; t_rel 0.4138;
5 r 2.4505; phi -1.8280; x -0.0312; y -0.1185; t_rel 0.4137;
5 r 2.4498; phi -1.8286; x -0.0312; y -0.1184; t_rel 0.4136;
5 r 2.4491; phi -1.8293; x -0.0313; y -0.1184; t_rel 0.4134;
5 r 2.4485; phi -1.8299; x -0.0314; y -0.1183; t_rel 0.4133;
5 r 2.4478; phi -1.8305; x -0.0314; y -0.1183; t_rel 0.4132;
5 r 2.4471; phi -1.8312; x -0.0315; y -0.1182; t_rel 0.4131;
5 r 2.4465; phi -1.8318; x -0.0316; y -0.1182; t_rel 0.4130;
5 r 2.4458; phi -1.8324; x -0.0316; y -0.1181; t_rel 0.4129;
5 r 2.4451; phi -1.8330; x -0.0317; y -0.1181; t_rel 0.4128;
5 r 2.4444; phi -1.8337; x -0.0318; y -0.1180; t_rel 0.4127;
5 r 2.4438; phi -1.8343; x -0.0318; y -0.1180; t_rel 0.4125;
5 r 2.4431; phi -1.8349; x -0.0319; y -0.1179; t_rel 0.4124;
5 r 2.4424; phi -1.8356; x -0.0320; y -0.1179; t_rel 0.4123;
5 r 2.4417; phi -1.8362; x -0.0320; y -0.1178; t_rel 0.4122;
5 r 2.4411; phi -1.8368; x -0.0321; y -0.1178; t_rel 0.4121;
5 r 2.4404; phi -1.8374; x -0.0322; y -0.1177; t_rel 0.4120;
5 r 2.4397; phi -1.8381; x -0.0322; y -0.1177; t_rel 0.4119;
5 r 2.4391; phi -1.8387; x -0.0323; y -0.1176; t_rel 0.4118;
5 r 2.4384; phi -1.8393; x -0.0323; y -0.1175; t_rel 0.4116;
5 r 2.4377; phi -1.8400; x -0.0324; y -0.1175; t_rel 0.4115;
5 r 2.4370; phi -1.8406; x -0.0325; y -0.1174; t_rel 0.4114;
5 r 2.4364; phi -1.8412; x -0.0325; y -0.1174; t_rel 0.4113;
5 r 2.4357; phi -1.8419; x -0.0326; y -0.1173; t_rel 0.4112;
5 r 2.4350; phi -1.8425; x -0.0327; y -0.1173; t_rel 0.4111;
5 r 2.4344; phi -1.8431; x -0.0327; y -0.1172; t_rel 0.4110;
5 r 2.4337; phi -1.8437; x -0.0328; y -0.1172; t_rel 0.4108;
5 r 2.4330; phi -1.8444; x -0.0329; y -0.1171; t_rel 0.4107;
5 r 2.4323; phi -1.8450; x -0.0329; y -0.1171; t_rel 0.4106;
5 r 2.4317; phi -1.8456; x -0.0330; y -0.1170; t_rel 0.4105;
5 r 2.4310; phi -1.8463; x -0.0331; y -0.1170; t_rel 0.4104;
5 r 2.4303; phi -1.8469; x -0.0331; y -0.1169; t_rel 0.4103;
5 r 2.4297; phi -1.8475; x -0.0332; y -0.1169; t_rel 0.4102;
5 r 2.4290; phi -1.8481; x -0.0333; y -0.1168; t_rel 0.4100;
5 r 2.4283; phi -1.8488; x -0.0333; y -0.1168; t_rel 0.4099;
5 r 2.4277; phi -1.8494; x -0.0334; y -0.1167; t_rel 0.4098;
5 r 2.4270; phi -1.8500; x -0.0334; y -0.1166; t_rel 0.4097;
5 r 2.4263; phi -1.8507; x -0.0335; y -0.1166; t_rel 0.4096;
5 r 2.4256; phi -1.8513; x -0.0336; y -0.1165; t_rel 0.4095;
5 r 2.4250; phi -1.8519; x -0.0336; y -0.1165; t_rel 0.4093;
5 r 2.4243; phi -1.8525; x -0.0337; y -0.1164; t_rel 0.4092;
5 r 2.4236; phi -1.8532; x -0.0338; y -0.1164; t_rel 0.4091;
5 r 2.4230; phi -1.8538; x -0.0338; y -0.1163; t_rel 0.4090;
5 r 2.4223; phi -1.8544; x -0.0339; y -0.1163; t_rel 0.4089;
5 r 2.4216; phi -1.8551; x -0.0340; y -0.1162; t_rel 0.4088;
5 r 2.4210; phi -1.8557; x -0.0340; y -0.1162; t_rel 0.4086;
5 r 2.4203; phi -1.8563; x -0.0341; y -0.1161; t_rel 0.4085;
5 r 2.4196; phi -1.8569; x -0.0341; y -0.1161; t_rel 0.4084;
5 r 2.4190; phi -1.8576; x -0.0342; y -0.1160; t_rel 0.4083;
5 r 2.4183; phi -1.8582; x -0.0343; y -0.1160; t_rel 0.4082;
5 r 2.4176; phi -1.8588; x -0.0343; y -0.1159; t_rel 0.4081;
5 r 2.4170; phi -1.8595; x -0.0344; y -0.1158; t_rel 0.4079;
5 r 2.4163; phi -1.8601; x -0.0345; y -0.1158; t_rel 0.4078;
5 r 2.4156; phi -1.8607; x -0.0345; y -0.1157; t_rel 0.4077;
5 r 2.4150; phi -1.8613; x -0.0346; y -0.1157; t_rel 0.4076;
5 r 2.4143; phi -1.8620; x -0.0347; y -0.1156; t_rel 0.4075;
5 r 2.4136; phi -1.8626; x -0.0347; y -0.1156; t_rel 0.4074;
5 r 2.4130; phi -1.8632; x -0.0348; y -0.1155; t_rel 0.4072;
5 r 2.4123; phi -1.8639; x -0.0348; y -0.1155; t_rel 0.4071;
5 r 2.4116; phi -1.8645; x -0.0349; y -0.1154; t_rel 0.4070;
5 r 2.4110; phi -1.8651; x -0.0350; y -0.1154; t_rel 0.4069;
5 r 2.4103; phi -1.8657; x -0.0350; y -0.1153; t_rel 0.4068;
5 r 2.4096; phi -1.8664; x -0.0351; y -0.1153; t_rel 0.4066;
5 r 2.4090; phi -1.8670; x -0.0352; y -0.1152; t_rel 0.4065;
5 r 2.4083; phi -1.8676; x -0.0352; y -0.1151; t_rel 0.4064;
5 r 2.4076; phi -1.8683; x -0.0353; y -0.1151; t_rel 0.4063;
5 r 2.4070; phi -1.8689; x -0.0353; y -0.1150; t_rel 0.4062;
5 r 2.4063; phi -1.8695; x -0.0354; y -0.1150; t_rel 0.4060;
5 r 2.4056; phi -1.8701; x -0.0355; y -0.1149; t_rel 0.4059;
5 r 2.4050; phi -1.8708; x -0.0355; y -0.1149; t_rel 0.4058;
5 r 2.4043; phi -1.8714; x -0.0356; y -0.1148; t_rel 0.4057;
5 r 2.4037; phi -1.8720; x -0.0357; y -0.1148; t_rel 0.4056;
5 r 2.4030; phi -1.8727; x -0.0357; y -0.1147; t_rel 0.4054;
5 r 2.4023; phi -1.8733; x -0.0358; y -0.1147; t_rel 0.4053;
5 r 2.4017; phi -1.8739; x -0.0358; y -0.1146; t_rel 0.4052;
5 r 2.4010; phi -1.8745; x -0.0359; y -0.1146; t_rel 0.4051;
5 r 2.4003; phi -1.8752; x -0.0360; y -0.1145; t_rel 0.4050;
5 r 2.3997; phi -1.8758; x -0.0360; y -0.1144; t_rel 0.4048;
5 r 2.3990; phi -1.8764; x -0.0361; y -0.1144; t_rel 0.4047;
5 r 2.3983; phi -1.8771; x -0.0362; y -0.1143; t_rel 0.4046;
5 r 2.3977; phi -1.8777; x -0.0362; y -0.1143; t_rel 0.4045;
5 r 2.3970; phi -1.8783; x -0.0363; y -0.1142; t_rel 0.4044;
5 r 2.3964; phi -1.8790; x -0.0363; y -0.1142; t_rel 0.4042;
5 r 2.3957; phi -1.8796; x -0.0364; y -0.1141; t_rel 0.4041;
5 r 2.3950; phi -1.8802; x -0.0365; y -0.1141; t_rel 0.4040;
5 r 2.3944; phi -1.8808; x -0.0365; y -0.1140; t_rel 0.4039;
5 r 2.3937; phi -1.8815; x -0.0366; y -0.1140; t_rel 0.4037;
5 r 2.3930; phi -1.8821; x -0.0366; y -0.1139; t_rel 0.4036;
5 r 2.3924; phi -1.8827; x -0.0367; y -0.1138; t_rel 0.4035;
5 r 2.3917; phi -1.8834; x -0.0368; y -0.1138; t_rel 0.4034;
5 r 2.3911; phi -1.8840; x -0.0368; y -0.1137; t_rel 0.4033;
5 r 2.3904; phi -1.8846; x -0.0369; y -0.1137; t_rel 0.4031;
5 r 2.3897; phi -1.8852; x -0.0370; y -0.1136; t_rel 0.4030;
5 r 2.3891; phi -1.8859; x -0.0370; y -0.1136; t_rel 0.4029;
5 r 2.3884; phi -1.8865; x -0.0371; y -0.1135; t_rel 0.4028;
5 r 2.3877; phi -1.8871; x -0.0371; y -0.1135; t_rel 0.4026;
5 r 2.3871; phi -1.8878; x -0.0372; y -0.1134; t_rel 0.4025;
5 r 2.3864; phi -1.8884; x -0.0373; y -0.1134; t_rel 0.4024;
5 r 2.3858; phi -1.8890; x -0.0373; y -0.1133; t_rel 0.4023;
5 r 2.3851; phi -1.8896; x -0.0374; y -0.1132; t_rel 0.4021;
5 r 2.3844; phi -1.8903; x -0.0374; y -0.1132; t_rel 0.4020;
5 r 2.3838; phi -1.8909; x -0.0375; y -0.1131; t_rel 0.4019;
5 r 2.3831; phi -1.8915; x -0.0376; y -0.1131; t_rel 0.4018;
5 r 2.3825; phi -1.8922; x -0.0376; y -0.1130; t_rel 0.4016;
