3 r 11.2084; phi -0.1345; x 0.5554; y -0.0752; t_rel 0.7982;
3 r 11.1914; phi -0.1352; x 0.5545; y -0.0754; t_rel 0.7973;
3 r 11.1744; phi -0.1358; x 0.5536; y -0.0756; t_rel 0.7964;
3 r 11.1645; phi -0.1364; x 0.5530; y -0.0759; t_rel 0.7958;
3 r 11.1547; phi -0.1370; x 0.5525; y -0.0762; t_rel 0.7953;
3 r 11.1449; phi -0.1377; x 0.5520; y -0.0765; t_rel 0.7948;
3 r 11.1265; phi -0.1383; x 0.5510; y -0.0767; t_rel 0.7937;
3 r 11.1109; phi -0.1389; x 0.5502; y -0.0769; t_rel 0.7929;
3 r 11.1011; phi -0.1396; x 0.5497; y -0.0772; t_rel 0.7924;
3 r 11.0913; phi -0.1402; x 0.5491; y -0.0775; t_rel 0.7918;
3 r 11.0814; phi -0.1408; x 0.5486; y -0.0778; t_rel 0.7913;
3 r 11.0642; phi -0.1414; x 0.5477; y -0.0780; t_rel 0.7903;
3 r 11.0476; phi -0.1421; x 0.5468; y -0.0782; t_rel 0.7894;
3 r 11.0377; phi -0.1427; x 0.5463; y -0.0785; t_rel 0.7889;
3 r 11.0279; phi -0.1433; x 0.5457; y -0.0788; t_rel 0.7883;
3 r 11.0180; phi -0.1440; x 0.5452; y -0.0790; t_rel 0.7878;
3 r 11.0042; phi -0.1446; x 0.5445; y -0.0793; t_rel 0.7870;
3 r 10.9863; phi -0.1452; x 0.5435; y -0.0795; t_rel 0.7860;
3 r 10.9744; phi -0.1458; x 0.5429; y -0.0797; t_rel 0.7854;
3 r 10.9646; phi -0.1465; x 0.5424; y -0.0800; t_rel 0.7848;
3 r 10.9547; phi -0.1471; x 0.5418; y -0.0803; t_rel 0.7843;
3 r 10.9449; phi -0.1477; x 0.5413; y -0.0805; t_rel 0.7838;
3 r 10.9291; phi -0.1484; x 0.5405; y -0.0808; t_rel 0.7829;
3 r 10.9119; phi -0.1490; x 0.5396; y -0.0810; t_rel 0.7819;
3 r 10.9013; phi -0.1496; x 0.5390; y -0.0812; t_rel 0.7814;
3 r 10.8915; phi -0.1502; x 0.5384; y -0.0815; t_rel 0.7808;
3 r 10.8816; phi -0.1509; x 0.5379; y -0.0818; t_rel 0.7803;
3 r 10.8718; phi -0.1515; x 0.5374; y -0.0820; t_rel 0.7797;
3 r 10.8573; phi -0.1521; x 0.5366; y -0.0823; t_rel 0.7789;
3 r 10.8407; phi -0.1528; x 0.5357; y -0.0825; t_rel 0.7780;
3 r 10.8283; phi -0.1534; x 0.5351; y -0.0827; t_rel 0.7773;
3 r 10.8185; phi -0.1540; x 0.5345; y -0.0830; t_rel 0.7768;
3 r 10.8086; phi -0.1546; x 0.5340; y -0.0832; t_rel 0.7762;
3 r 10.7988; phi -0.1553; x 0.5334; y -0.0835; t_rel 0.7757;
3 r 10.7885; phi -0.1559; x 0.5329; y -0.0838; t_rel 0.7751;
3 r 10.7725; phi -0.1565; x 0.5320; y -0.0840; t_rel 0.7742;
3 r 10.7567; phi -0.1572; x 0.5312; y -0.0842; t_rel 0.7734;
3 r 10.7457; phi -0.1578; x 0.5306; y -0.0844; t_rel 0.7728;
3 r 10.7358; phi -0.1584; x 0.5301; y -0.0847; t_rel 0.7722;
3 r 10.7260; phi -0.1590; x 0.5295; y -0.0849; t_rel 0.7717;
3 r 10.7161; phi -0.1597; x 0.5290; y -0.0852; t_rel 0.7711;
3 r 10.7063; phi -0.1603; x 0.5285; y -0.0854; t_rel 0.7706;
3 r 10.6918; phi -0.1609; x 0.5277; y -0.0857; t_rel 0.7698;
3 r 10.6766; phi -0.1616; x 0.5269; y -0.0859; t_rel 0.7689;
3 r 10.6631; phi -0.1622; x 0.5262; y -0.0861; t_rel 0.7682;
3 r 10.6533; phi -0.1628; x 0.5256; y -0.0863; t_rel 0.7676;
3 r 10.6435; phi -0.1634; x 0.5251; y -0.0866; t_rel 0.7671;
3 r 10.6336; phi -0.1641; x 0.5245; y -0.0868; t_rel 0.7666;
3 r 10.6238; phi -0.1647; x 0.5240; y -0.0871; t_rel 0.7660;
3 r 10.6140; phi -0.1653; x 0.5235; y -0.0873; t_rel 0.7655;
3 r 10.6002; phi -0.1660; x 0.5227; y -0.0876; t_rel 0.7647;
3 r 10.5858; phi -0.1666; x 0.5220; y -0.0878; t_rel 0.7639;
3 r 10.5715; phi -0.1672; x 0.5212; y -0.0880; t_rel 0.7631;
3 r 10.5612; phi -0.1678; x 0.5206; y -0.0882; t_rel 0.7625;
3 r 10.5514; phi -0.1685; x 0.5201; y -0.0885; t_rel 0.7620;
3 r 10.5415; phi -0.1691; x 0.5196; y -0.0887; t_rel 0.7614;
3 r 10.5317; phi -0.1697; x 0.5190; y -0.0889; t_rel 0.7609;
3 r 10.5219; phi -0.1704; x 0.5185; y -0.0892; t_rel 0.7603;
3 r 10.5121; phi -0.1710; x 0.5179; y -0.0894; t_rel 0.7598;
3 r 10.4995; phi -0.1716; x 0.5173; y -0.0896; t_rel 0.7591;
3 r 10.4858; phi -0.1722; x 0.5165; y -0.0899; t_rel 0.7583;
3 r 10.4722; phi -0.1729; x 0.5158; y -0.0901; t_rel 0.7576;
3 r 10.4595; phi -0.1735; x 0.5151; y -0.0903; t_rel 0.7569;
3 r 10.4497; phi -0.1741; x 0.5146; y -0.0905; t_rel 0.7563;
3 r 10.4399; phi -0.1748; x 0.5140; y -0.0908; t_rel 0.7558;
3 r 10.4301; phi -0.1754; x 0.5135; y -0.0910; t_rel 0.7552;
3 r 10.4203; phi -0.1760; x 0.5130; y -0.0912; t_rel 0.7547;
3 r 10.4106; phi -0.1766; x 0.5124; y -0.0915; t_rel 0.7542;
3 r 10.4008; phi -0.1773; x 0.5119; y -0.0917; t_rel 0.7536;
3 r 10.3910; phi -0.1779; x 0.5113; y -0.0919; t_rel 0.7531;
3 r 10.3784; phi -0.1785; x 0.5107; y -0.0921; t_rel 0.7524;
3 r 10.3655; phi -0.1791; x 0.5100; y -0.0924; t_rel 0.7516;
3 r 10.3528; phi -0.1798; x 0.5093; y -0.0926; t_rel 0.7509;
3 r 10.3401; phi -0.1804; x 0.5086; y -0.0928; t_rel 0.7502;
3 r 10.3290; phi -0.1810; x 0.5080; y -0.0930; t_rel 0.7496;
3 r 10.3192; phi -0.1817; x 0.5075; y -0.0932; t_rel 0.7491;
3 r 10.3095; phi -0.1823; x 0.5069; y -0.0934; t_rel 0.7485;
3 r 10.2997; phi -0.1829; x 0.5064; y -0.0937; t_rel 0.7480;
3 r 10.2899; phi -0.1835; x 0.5059; y -0.0939; t_rel 0.7474;
3 r 10.2802; phi -0.1842; x 0.5053; y -0.0941; t_rel 0.7469;
3 r 10.2704; phi -0.1848; x 0.5048; y -0.0944; t_rel 0.7463;
3 r 10.2607; phi -0.1854; x 0.5042; y -0.0946; t_rel 0.7458;
3 r 10.2509; phi -0.1861; x 0.5037; y -0.0948; t_rel 0.7452;
3 r 10.2408; phi -0.1867; x 0.5031; y -0.0950; t_rel 0.7447;
3 r 10.2288; phi -0.1873; x 0.5025; y -0.0952; t_rel 0.7440;
3 r 10.2170; phi -0.1879; x 0.5019; y -0.0954; t_rel 0.7433;
3 r 10.2052; phi -0.1886; x 0.5012; y -0.0957; t_rel 0.7427;
3 r 10.1935; phi -0.1892; x 0.5006; y -0.0959; t_rel 0.7420;
3 r 10.1818; phi -0.1898; x 0.4999; y -0.0961; t_rel 0.7414;
3 r 10.1702; phi -0.1905; x 0.4993; y -0.0963; t_rel 0.7407;
3 r 10.1602; phi -0.1911; x 0.4988; y -0.0965; t_rel 0.7402;
3 r 10.1505; phi -0.1917; x 0.4982; y -0.0967; t_rel 0.7396;
3 r 10.1408; phi -0.1923; x 0.4977; y -0.0969; t_rel 0.7391;
3 r 10.1311; phi -0.1930; x 0.4972; y -0.0971; t_rel 0.7385;
3 r 10.1214; phi -0.1936; x 0.4966; y -0.0974; t_rel 0.7380;
3 r 10.1117; phi -0.1942; x 0.4961; y -0.0976; t_rel 0.7374;
3 r 10.1021; phi -0.1949; x 0.4955; y -0.0978; t_rel 0.7369;
3 r 10.0924; phi -0.1955; x 0.4950; y -0.0980; t_rel 0.7363;
3 r 10.0827; phi -0.1961; x 0.4945; y -0.0982; t_rel 0.7358;
3 r 10.0730; phi -0.1967; x 0.4939; y -0.0985; t_rel 0.7353;
3 r 10.0633; phi -0.1974; x 0.4934; y -0.0987; t_rel 0.7347;
3 r 10.0537; phi -0.1980; x 0.4929; y -0.0989; t_rel 0.7342;
3 r 10.0440; phi -0.1986; x 0.4923; y -0.0991; t_rel 0.7336;
3 r 10.0343; phi -0.1993; x 0.4918; y -0.0993; t_rel 0.7331;
3 r 10.0246; phi -0.1999; x 0.4913; y -0.0995; t_rel 0.7325;
3 r 10.0148; phi -0.2005; x 0.4907; y -0.0997; t_rel 0.7320;
3 r 10.0041; phi -0.2011; x 0.4901; y -0.0999; t_rel 0.7314;
