2 r 10.3737; phi -0.1666; x 0.5115; y -0.0860; t_rel 0.8351;
2 r 10.3620; phi -0.1672; x 0.5109; y -0.0862; t_rel 0.8346;
2 r 10.3504; phi -0.1678; x 0.5102; y -0.0864; t_rel 0.8342;
2 r 10.3387; phi -0.1685; x 0.5096; y -0.0867; t_rel 0.8338;
2 r 10.3271; phi -0.1691; x 0.5090; y -0.0869; t_rel 0.8334;
2 r 10.3155; phi -0.1697; x 0.5084; y -0.0871; t_rel 0.8329;
2 r 10.3040; phi -0.1703; x 0.5077; y -0.0873; t_rel 0.8325;
2 r 10.2925; phi -0.1710; x 0.5071; y -0.0876; t_rel 0.8321;
2 r 10.2810; phi -0.1716; x 0.5065; y -0.0878; t_rel 0.8316;
2 r 10.2695; phi -0.1722; x 0.5059; y -0.0880; t_rel 0.8312;
2 r 10.2581; phi -0.1729; x 0.5053; y -0.0882; t_rel 0.8308;
2 r 10.2466; phi -0.1735; x 0.5046; y -0.0884; t_rel 0.8304;
2 r 10.2353; phi -0.1741; x 0.5040; y -0.0887; t_rel 0.8299;
2 r 10.2239; phi -0.1747; x 0.5034; y -0.0889; t_rel 0.8295;
2 r 10.2126; phi -0.1754; x 0.5028; y -0.0891; t_rel 0.8291;
2 r 10.2013; phi -0.1760; x 0.5022; y -0.0893; t_rel 0.8287;
2 r 10.1900; phi -0.1766; x 0.5016; y -0.0895; t_rel 0.8282;
2 r 10.1788; phi -0.1773; x 0.5010; y -0.0897; t_rel 0.8278;
2 r 10.1676; phi -0.1779; x 0.5004; y -0.0900; t_rel 0.8274;
2 r 10.1564; phi -0.1785; x 0.4997; y -0.0902; t_rel 0.8270;
2 r 10.1452; phi -0.1791; x 0.4991; y -0.0904; t_rel 0.8266;
2 r 10.1341; phi -0.1798; x 0.4985; y -0.0906; t_rel 0.8262;
2 r 10.1230; phi -0.1804; x 0.4979; y -0.0908; t_rel 0.8257;
2 r 10.1119; phi -0.1810; x 0.4973; y -0.0910; t_rel 0.8253;
2 r 10.1009; phi -0.1817; x 0.4967; y -0.0912; t_rel 0.8249;
2 r 10.0898; phi -0.1823; x 0.4961; y -0.0915; t_rel 0.8245;
2 r 10.0788; phi -0.1829; x 0.4955; y -0.0917; t_rel 0.8241;
2 r 10.0679; phi -0.1835; x 0.4949; y -0.0919; t_rel 0.8237;
2 r 10.0569; phi -0.1842; x 0.4943; y -0.0921; t_rel 0.8233;
2 r 10.0460; phi -0.1848; x 0.4937; y -0.0923; t_rel 0.8229;
2 r 10.0351; phi -0.1854; x 0.4932; y -0.0925; t_rel 0.8225;
2 r 10.0243; phi -0.1861; x 0.4926; y -0.0927; t_rel 0.8221;
2 r 10.0134; phi -0.1867; x 0.4920; y -0.0929; t_rel 0.8217;
2 r 10.0026; phi -0.1873; x 0.4914; y -0.0931; t_rel 0.8212;
2 r 9.9918; phi -0.1879; x 0.4908; y -0.0933; t_rel 0.8208;
2 r 9.9811; phi -0.1886; x 0.4902; y -0.0935; t_rel 0.8204;
2 r 9.9703; phi -0.1892; x 0.4896; y -0.0938; t_rel 0.8200;
2 r 9.9596; phi -0.1898; x 0.4890; y -0.0940; t_rel 0.8196;
2 r 9.9489; phi -0.1905; x 0.4885; y -0.0942; t_rel 0.8192;
2 r 9.9383; phi -0.1911; x 0.4879; y -0.0944; t_rel 0.8188;
2 r 9.9276; phi -0.1917; x 0.4873; y -0.0946; t_rel 0.8184;
2 r 9.9170; phi -0.1923; x 0.4867; y -0.0948; t_rel 0.8180;
2 r 9.9065; phi -0.1930; x 0.4861; y -0.0950; t_rel 0.8176;
2 r 9.8959; phi -0.1936; x 0.4856; y -0.0952; t_rel 0.8172;
2 r 9.8854; phi -0.1942; x 0.4850; y -0.0954; t_rel 0.8169;
2 r 9.8749; phi -0.1949; x 0.4844; y -0.0956; t_rel 0.8165;
2 r 9.8644; phi -0.1955; x 0.4838; y -0.0958; t_rel 0.8161;
2 r 9.8539; phi -0.1961; x 0.4833; y -0.0960; t_rel 0.8157;
2 r 9.8435; phi -0.1967; x 0.4827; y -0.0962; t_rel 0.8153;
2 r 9.8331; phi -0.1974; x 0.4821; y -0.0964; t_rel 0.8149;
2 r 9.8227; phi -0.1980; x 0.4815; y -0.0966; t_rel 0.8145;
2 r 9.8124; phi -0.1986; x 0.4810; y -0.0968; t_rel 0.8141;
2 r 9.8020; phi -0.1993; x 0.4804; y -0.0970; t_rel 0.8137;
2 r 9.7917; phi -0.1999; x 0.4798; y -0.0972; t_rel 0.8133;
2 r 9.7814; phi -0.2005; x 0.4793; y -0.0974; t_rel 0.8129;
2 r 9.7712; phi -0.2011; x 0.4787; y -0.0976; t_rel 0.8126;
2 r 9.7610; phi -0.2018; x 0.4781; y -0.0978; t_rel 0.8122;
2 r 9.7507; phi -0.2024; x 0.4776; y -0.0980; t_rel 0.8118;
2 r 9.7406; phi -0.2030; x 0.4770; y -0.0982; t_rel 0.8114;
2 r 9.7304; phi -0.2037; x 0.4765; y -0.0984; t_rel 0.8110;
2 r 9.7203; phi -0.2043; x 0.4759; y -0.0986; t_rel 0.8106;
2 r 9.7101; phi -0.2049; x 0.4754; y -0.0988; t_rel 0.8103;
2 r 9.7001; phi -0.2055; x 0.4748; y -0.0990; t_rel 0.8099;
2 r 9.6900; phi -0.2062; x 0.4742; y -0.0992; t_rel 0.8095;
2 r 9.6799; phi -0.2068; x 0.4737; y -0.0994; t_rel 0.8091;
2 r 9.6699; phi -0.2074; x 0.4731; y -0.0996; t_rel 0.8087;
2 r 9.6599; phi -0.2081; x 0.4726; y -0.0998; t_rel 0.8084;
